Configuration,σ_e,ρ_e,Learned(d=1),Learned(d=2),Learned(d=3),S1_K,S2_K_Gini,S3_K_Gini_Top10,Linear,RandomForest,GradientBoosting
LowRisk_ModPersist_Borrow,0.1,0.85,0.13851026502935548,0.08752725623019565,0.07410699793016211,0.16658672856123632,0.1594443672694152,0.18382571549911625,0.033164136216134926,0.1070905335251548,0.137070942327612
LowRisk_ModPersist_NoBorrow,0.1,0.85,0.1711013950857788,0.09406769423519386,0.0992018537376095,0.36578449454300577,0.3259360191615055,0.3396119967076968,0.07717920059319539,0.14591847939595595,0.14665432572140386
LowRisk_HighPersist_Borrow,0.1,0.95,0.302075152769024,0.05126643628189947,0.053343669237561675,0.5054476534764966,0.3550850319833361,0.3377814807482889,0.04927991839603501,0.06994270138046489,0.07715571380738022
LowRisk_HighPersist_NoBorrow,0.1,0.95,0.20338761847914066,0.056178386202969666,0.05638713702839471,0.27523619331722027,0.23511447410518274,0.21726420946375205,0.04319018665311855,0.07542906016431641,0.0863875379949314
HighRisk_ModPersist_Borrow,0.25,0.85,0.11606239670995627,0.08304283565994106,0.07553441223495629,0.21106217686599912,0.18417620221710743,0.20468543728272728,0.0493326805979846,0.08606155515414281,0.07573447762490887
HighRisk_ModPersist_NoBorrow,0.25,0.85,0.17452298638376218,0.12213910008555595,0.12607582068037476,0.25764082397108845,0.25019789830892913,0.24980482460648257,0.08209617128631978,0.10613651240351983,0.1229336371896029
HighRisk_HighPersist_Borrow,0.25,0.95,0.12797519926270567,0.06864412602401639,0.06739597809892771,0.34621824764593645,0.41021834333196494,0.4017662731563591,0.043176587458370115,0.08730450306611343,0.07699076307823383
HighRisk_HighPersist_NoBorrow,0.25,0.95,0.15567504831962026,0.11079402582322137,0.1132434064422405,0.2833057952155111,0.3519564309343639,0.3174709350371954,0.08332070213315987,0.11474444421414691,0.1057326556322627
