Configuration,σ_e,ρ_e,a_min,K_ss,Gini,Constrained %,R(d=1),R(d=2),R(d=3),S1_K_MSE,S2_K_Gini_MSE,S3_K_Gini_Top10_MSE
LowRisk_ModPersist_Borrow,0.1,0.85,-1.0,3.323980322748607,0.4637784220143468,33.24783075089392,0.13851026502935548,0.08752725623019565,0.07410699793016211,0.16658672856123632,0.1594443672694152,0.18382571549911625
LowRisk_ModPersist_NoBorrow,0.1,0.85,0.0,1.4670847999279046,0.5401867485710331,51.19419547079856,0.1711013950857788,0.09406769423519386,0.0992018537376095,0.36578449454300577,0.3259360191615055,0.3396119967076968
LowRisk_HighPersist_Borrow,0.1,0.95,-1.0,-0.9476319389482974,0.9283406434734863,99.76796185935638,0.302075152769024,0.05126643628189947,0.053343669237561675,0.5054476534764966,0.3550850319833361,0.3377814807482889
LowRisk_HighPersist_NoBorrow,0.1,0.95,0.0,0.22234797301900677,0.8575757206738354,92.96820023837901,0.20338761847914066,0.056178386202969666,0.05638713702839471,0.27523619331722027,0.23511447410518274,0.21726420946375205
HighRisk_ModPersist_Borrow,0.25,0.85,-1.0,7.4699110999418785,0.4660838725316306,19.00672228843862,0.11606239670995627,0.08304283565994106,0.07553441223495629,0.21106217686599912,0.18417620221710743,0.20468543728272728
HighRisk_ModPersist_NoBorrow,0.25,0.85,0.0,7.628378903054612,0.4796738782388299,13.009022646007152,0.17452298638376218,0.12213910008555595,0.12607582068037476,0.25764082397108845,0.25019789830892913,0.24980482460648257
HighRisk_HighPersist_Borrow,0.25,0.95,-1.0,11.998516532177682,0.5510404094662205,22.489451728247914,0.12797519926270567,0.06864412602401639,0.06739597809892771,0.34621824764593645,0.41021834333196494,0.4017662731563591
HighRisk_HighPersist_NoBorrow,0.25,0.95,0.0,12.307562561453338,0.5596073473458102,16.201895113230037,0.15567504831962026,0.11079402582322137,0.1132434064422405,0.2833057952155111,0.3519564309343639,0.3174709350371954
